cutoff,	mean precision,	mean recall,	mean f1
0.04,	0.630672262142,	0.533339391297,	0.575016823728
0.08,	0.640385365921,	0.500224679429,	0.558929857004
0.12,	0.643690088237,	0.476608363581,	0.544118196993
0.16,	0.650684660491,	0.464084748512,	0.538458434121
0.2,	0.655874672234,	0.452718182943,	0.532571182446
0.24,	0.663622176248,	0.447996618764,	0.531944287835
0.28,	0.664940078068,	0.442168265882,	0.528280209511
0.32,	0.668423419951,	0.436572408251,	0.525289269772
0.36,	0.675584296164,	0.43533784035,	0.526695562539
0.4,	0.678250476773,	0.427334176211,	0.521789821483
0.44,	0.684048813109,	0.424994914925,	0.521723057955
0.48,	0.688438997851,	0.420640340928,	0.519525400406
0.52,	0.694495301593,	0.415045406743,	0.51680914762
0.56,	0.69929306022,	0.409104330369,	0.513579129244
0.6,	0.708759556956,	0.404407817437,	0.512297130688
0.64,	0.712452104777,	0.391922588351,	0.502763311027
0.68,	0.714955155905,	0.387646507289,	0.499324905501
0.72,	0.717347340123,	0.379759586872,	0.492664209625
0.76,	0.721592497422,	0.370610295677,	0.486203603874
0.8,	0.723600874828,	0.366016510696,	0.482675357913
0.84,	0.733525319447,	0.356877619584,	0.476882872859
0.88,	0.736496029464,	0.346381489365,	0.468282190711
0.92,	0.751100574442,	0.338141258657,	0.4636782852
0.96,	0.765858675476,	0.319857518756,	0.4488623734
0.962,	0.765105987304,	0.318694728059,	0.447491904788
0.964,	0.765105987304,	0.318694728059,	0.447491904788
0.966,	0.765105987304,	0.318694728059,	0.447491904788
0.968,	0.764431223471,	0.317518257471,	0.446246166524
0.97,	0.766258465996,	0.317518257471,	0.446616495331
0.972,	0.766258465996,	0.317518257471,	0.446616495331
0.974,	0.768379496074,	0.316419356372,	0.445822111252
0.976,	0.772529162925,	0.315320455273,	0.445409767626
0.978,	0.77432403472,	0.315320455273,	0.445789120017
0.98,	0.780631867628,	0.315320455273,	0.446865332701
0.982,	0.783410548564,	0.312967514096,	0.44509031795
0.984,	0.78474433174,	0.311732946195,	0.444179205377
0.986,	0.786448502722,	0.310570155497,	0.4434224597
0.988,	0.782924061827,	0.304697171976,	0.436833704924
0.99,	0.782824160272,	0.300079604348,	0.432108592993
0.992,	0.78870195508,	0.296462733554,	0.429180677296
0.994,	0.794407464197,	0.289546011592,	0.422486150999
0.996,	0.808936187605,	0.280140442498,	0.414288586575
0.998,	0.813692767295,	0.2449556515,	0.374855327855
