cutoff,	mean precision,	mean recall,	mean f1
0.04,	0.997722095672,	1.0,	0.998859749145
0.08,	0.997722095672,	1.0,	0.998859749145
0.12,	0.997722095672,	1.0,	0.998859749145
0.16,	0.997722095672,	1.0,	0.998859749145
0.2,	0.997722095672,	1.0,	0.998859749145
0.24,	0.997722095672,	1.0,	0.998859749145
0.28,	0.997722095672,	1.0,	0.998859749145
0.32,	0.997722095672,	1.0,	0.998859749145
0.36,	0.997722095672,	1.0,	0.998859749145
0.4,	0.997722095672,	1.0,	0.998859749145
0.44,	0.998859749145,	1.0,	0.999429549344
0.48,	0.998858447489,	0.998858447489,	0.998858447489
0.52,	1.0,	0.997716894977,	0.998857142857
0.56,	1.0,	0.997716894977,	0.998857142857
0.6,	1.0,	0.997716894977,	0.998857142857
0.64,	1.0,	0.997716894977,	0.998857142857
0.68,	1.0,	0.995433789954,	0.997711670481
0.72,	1.0,	0.995433789954,	0.997711670481
0.76,	1.0,	0.995433789954,	0.997711670481
0.8,	1.0,	0.993150684932,	0.996563573883
0.84,	1.0,	0.993150684932,	0.996563573883
0.88,	1.0,	0.99200913242,	0.995988538682
0.92,	1.0,	0.990867579909,	0.995412844037
0.96,	1.0,	0.986301369863,	0.993103448276
0.962,	1.0,	0.986301369863,	0.993103448276
0.964,	1.0,	0.986301369863,	0.993103448276
0.966,	1.0,	0.986301369863,	0.993103448276
0.968,	1.0,	0.986301369863,	0.993103448276
0.97,	1.0,	0.986301369863,	0.993103448276
0.972,	1.0,	0.986301369863,	0.993103448276
0.974,	1.0,	0.986301369863,	0.993103448276
0.976,	1.0,	0.986301369863,	0.993103448276
0.978,	1.0,	0.986301369863,	0.993103448276
0.98,	1.0,	0.985159817352,	0.992524439333
0.982,	1.0,	0.982876712329,	0.991364421416
0.984,	1.0,	0.981735159817,	0.990783410138
0.986,	1.0,	0.980593607306,	0.990201729107
0.988,	1.0,	0.979452054795,	0.989619377163
0.99,	1.0,	0.97602739726,	0.987868284229
0.992,	1.0,	0.971461187215,	0.98552403011
0.994,	1.0,	0.956621004566,	0.977829638273
0.996,	1.0,	0.929223744292,	0.963313609467
0.998,	1.0,	0.850456621005,	0.919185687847
