regularization,mean precision,mean recall,mean f1
0.1,0.607051526322,0.626127804252,0.614385002632
0.2,0.604040975487,0.637047209768,0.617828609333
0.5,0.598659888042,0.627792427966,0.611521346682
0.75,0.605015865367,0.632262601956,0.617455799719
1,0.602926112698,0.613208346917,0.606217525498
2,0.599681011961,0.633014255121,0.615026747529
4,0.604899787963,0.63274370572,0.616013068396
6,0.600416470271,0.64661869215,0.622045193887
8,0.595175918289,0.624921244665,0.608695565624
10,0.596025894546,0.615593313144,0.604801362585
15,0.600438501926,0.625667249523,0.611611415373
20,0.605112551994,0.625142979341,0.613937715866
30,0.60894533871,0.614596329259,0.610995954818
40,0.596028223104,0.613568799607,0.603320872947
50,0.605084662122,0.630114874132,0.615611449277
